4201,Wayne Knight,27.58
13363,Saskia Reeves,27.568
3417,Tony Goldwyn,27.536
40009,Matt Frewer,27.533
79082,Randall Park,27.494
15370,Gretchen Mol,27.487
2880,Emilio Estevez,27.454
55086,Cam Gigandet,27.445
37041,Andrew McCarthy,27.381
76996,Jonathan Bennett,27.363
29930,Ivana Miličević,27.36
11086,Michael Ironside,27.334
36042,Rachel Ward,27.327
4431,Jessica Lange,27.316
3037,Richard Dreyfuss,27.302
56124,William Zabka,27.295
36422,Luke Wilson,27.282
16861,John Hawkes,27.245
928572,Scott Eastwood,27.224
93210,Domhnall Gleeson,27.218
6944,Octavia Spencer,27.107
11616,Olivia Williams,27.081
8231,Suzanne Pleshette,27.066
18750,Annabella Sciorra,27.047
74242,Shea Whigham,27.033
6413,Danny Huston,27.027
65220,Danica McKellar,26.995
132354,Kate Micucci,26.971
11477,Ray Liotta,26.96
39388,Amy Ryan,26.897
3202,Edie McClurg,26.813
5727,Diedrich Bader,26.795
1896,Don Cheadle,26.791
8783,Eric Bana,26.698
10768,Rachel Ticotin,26.673
81690,Don Swayze,26.655
11164,Kelly Preston,26.64
23882,Amy Madigan,26.636
51800,Teryl Rothery,26.635
